country,apr2_tariff_pct,apr9_status,source_url,notes
Kenya,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Kuwait,10,unchanged,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,"Not mentioned in EO 14257 Annex I, so the universal 10% baseline applied from Apr 5, 2025. The Apr 9 suspension replaced Annex I rates with that same 10%, so this country's rate did not change."
Laos,48,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Latvia,20,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,part of European Union (EU)
Lesotho,50,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Libya,31,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Liechtenstein,37,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Lithuania,20,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,part of European Union (EU)
Luxembourg,20,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,part of European Union (EU)
Macau,34,raised,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,follows China
Madagascar,47,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
Malawi,17,paused,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf; https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,
